Close,High,Low,Open,Volume,Daily Return,Daily log return
2018-01-25,10595.2998046875,10630.5,10559.7001953125,10564.599609375,183930300,0.003057824925447372,0.00305315928752631
2018-01-26,10595.400390625,10635.099609375,10563.2001953125,10598.599609375,139534800,9.493448921205072e-06,9.493403858704061e-06
2018-01-29,10555.599609375,10605.7001953125,10540.0,10605.5,150492500,-0.003756420690360751,-0.003763493757060875
2018-01-30,10428.2001953125,10506.400390625,10416.2001953125,10481.900390625,180465900,-0.012069367802597375,-0.012142794025645146
2018-01-31,10451.5,10482.7001953125,10422.099609375,10436.400390625,190192400,0.002234307382972256,0.0022318150299961495
2018-02-01,10399.0,10543.7001953125,10359.400390625,10518.2998046875,197535400,-0.005023202411137184,-0.005035861101604557
2018-02-02,10211.2001953125,10369.2001953125,10205.2998046875,10359.2998046875,203689700,-0.018059410009375942,-0.01822447144902681
2018-02-05,10064.5,10173.7998046875,10058.5,10138.400390625,195011800,-0.014366596727762082,-0.014470795470119516
2018-02-06,9810.0,9967.2998046875,9721.5,9794.900390625,313297200,-0.02528689949823637,-0.025612107181677717
2018-02-07,9976.900390625,9988.5,9811.7001953125,9950.7998046875,234404500,0.01701329160295617,0.016870186403787835
2018-02-08,9756.2998046875,9959.7998046875,9726.5,9928.5,228483100,-0.022111134450614744,-0.022359249811779704
2018-02-09,9639.599609375,9752.2001953125,9581.099609375,9710.900390625,255495900,-0.011961522057412632,-0.012033636706597597
2018-02-12,9771.099609375,9815.2001953125,9731.0,9760.099609375,170166600,0.013641645434329996,0.013549435836569687
2018-02-13,9650.7001953125,9797.400390625,9650.7001953125,9788.5,164804700,-0.01232199229112163,-0.01239853748090068
2018-02-14,9686.2001953125,9743.900390625,9595.900390625,9715.7001953125,178708500,0.0036784895687924646,0.003671740471963174
2018-02-15,9714.900390625,9832.099609375,9674.900390625,9770.7001953125,165506400,0.0029629983619778866,0.0029586173341833557
2018-02-16,9832.099609375,9839.7001953125,9768.7001953125,9785.2001953125,188851400,0.012063862112585255,0.0119916737285795
2018-02-19,9806.2001953125,9905.400390625,9797.2001953125,9865.099609375,122821700,-0.0026341692101862213,-0.0026376447386619066
2018-02-20,9895.2998046875,9901.099609375,9806.900390625,9806.900390625,153238700,0.009086048377595857,0.009045018585213291
2018-02-21,9823.2998046875,9876.099609375,9777.5,9874.5,155384500,-0.0072761817651945115,-0.007302782287770441
2018-02-22,9876.5,9903.099609375,9744.900390625,9767.599609375,175175500,0.005415715326851256,0.005401103074060144
2018-02-23,9822.400390625,9891.099609375,9764.900390625,9882.900390625,181436600,-0.005477609413759965,-0.005492666526030387
2018-02-26,9902.400390625,9915.099609375,9841.7001953125,9888.400390625,156602500,0.008144648641726704,0.008111659990579055
2018-02-27,9900.2001953125,9937.2001953125,9863.400390625,9930.2998046875,153537600,-0.00022218807821416942,-0.00022221276564212216
2018-02-28,9840.2998046875,9887.2001953125,9830.2001953125,9869.7998046875,203423600,-0.006050422157459101,-0.0060688001287547205
2018-03-01,9738.599609375,9808.900390625,9715.2001953125,9795.2998046875,161713700,-0.01033507081400653,-0.010388848510129627
2018-03-02,9531.099609375,9680.0,9510.7998046875,9680.0,208309000,-0.02130696489464945,-0.02153723505126475
2018-03-05,9590.7998046875,9604.2001953125,9494.5,9500.0,147001100,0.006263725882559967,0.006244190286234569
2018-03-06,9586.7998046875,9677.0,9586.2998046875,9663.599609375,143029000,-0.00041706636375049566,-0.0004171533601160611
2018-03-07,9599.2998046875,9612.400390625,9547.099609375,9561.2998046875,132064100,0.0013038761896215778,0.001303026881244466
2018-03-08,9646.2001953125,9666.400390625,9564.2001953125,9617.0,144630300,0.004885813713422893,0.004873916860403832
2018-03-09,9686.099609375,9704.900390625,9631.5,9651.0,117278700,0.0041362830186635335,0.004127752116119138
2018-03-12,9727.5,9761.2998046875,9702.5,9747.400390625,110658800,0.004274206573813277,0.0042650980980100655
2018-03-13,9691.7001953125,9811.400390625,9670.7001953125,9737.2001953125,151206300,-0.0036802677653559046,-0.003687056612403319
2018-03-14,9688.5,9737.400390625,9632.2001953125,9698.900390625,159016100,-0.0003301995777839073,-0.0003302541056682116
2018-03-15,9684.2001953125,9720.599609375,9647.5,9715.2998046875,146814900,-0.00044380499432317144,-0.00044390350490706884
2018-03-16,9761.0,9800.7998046875,9664.0,9676.2001953125,313971200,0.007930423074553383,0.007899142539235123
2018-03-19,9664.099609375,9747.2998046875,9646.0,9733.900390625,123279600,-0.009927301570023528,-0.009976905792002406
2018-03-20,9681.599609375,9693.2001953125,9608.5,9676.2998046875,129603000,0.0018108257062068311,0.001809188137940146
2018-03-21,9630.900390625,9702.400390625,9592.099609375,9701.5,145644800,-0.00523665724627842,-0.005250416592175637
2018-03-22,9487.400390625,9648.2998046875,9432.599609375,9580.400390625,199763700,-0.014899956824357519,-0.015012076291814596
2018-03-23,9393.099609375,9428.900390625,9327.599609375,9399.2001953125,226994800,-0.009939580640359935,-0.009989308059533056
2018-03-26,9381.0,9460.599609375,9343.2998046875,9418.099609375,159534000,-0.0012881380884031124,-0.0012889684514286017
2018-03-27,9473.599609375,9519.2001953125,9441.599609375,9518.2001953125,137671300,0.009870974243151087,0.009822574418554478
2018-03-28,9555.0,9555.0,9348.900390625,9397.7998046875,177665900,0.008592340185503256,0.008555636129868073
2018-03-29,9600.400390625,9657.5,9581.7001953125,9595.599609375,153270700,0.004751479918890578,0.004740227268597351
2018-04-03,9549.599609375,9577.5,9500.0,9532.099609375,129871700,-0.005291527351255931,-0.005305577066997768
2018-04-04,9513.2998046875,9560.400390625,9417.2998046875,9555.5,151218600,-0.00380118603630919,-0.0038084289041016156
2018-04-05,9740.900390625,9761.7998046875,9616.7001953125,9637.5,162491700,0.023924462658619694,0.023642756961460183
2018-04-06,9682.7998046875,9734.2001953125,9658.900390625,9688.2998046875,114953400,-0.005964601177260609,-0.005982460461947213
2018-04-09,9742.7998046875,9790.2001953125,9716.7998046875,9735.099609375,99214300,0.006196554840569357,0.006177435138161368
2018-04-10,9763.5,9806.0,9738.7001953125,9798.5,125802100,0.0021246659817992786,0.0021224120710059465
2018-04-11,9735.7998046875,9786.2998046875,9717.2998046875,9742.599609375,122928200,-0.0028371173567368624,-0.002841149602627218
2018-04-12,9747.0,9767.599609375,9706.099609375,9733.0,127527600,0.0011504134778026476,0.001149752259285569
2018-04-13,9767.2998046875,9858.900390625,9744.400390625,9764.0,137074600,0.0020826720721760505,0.0020805063172128803
2018-04-16,9766.099609375,9796.5,9747.2998046875,9768.7001953125,100400800,-0.0001228789262641694,-0.0001228864764979454
